id,name,countrycode,district,population
646,SantaAna,SLV,SantaAna,139389
647,Mejicanos,SLV,SanSalvador,138800
648,Soyapango,SLV,SanSalvador,129800
649,SanMiguel,SLV,SanMiguel,127696
650,NuevaSanSalvador,SLV,LaLibertad,98400
651,Apopa,SLV,SanSalvador,88800
652,Asmara,ERI,Maekel,431000
653,Madrid,ESP,Madrid,2879052
654,Barcelona,ESP,Katalonia,1503451
655,Valencia,ESP,Valencia,739412
656,Sevilla,ESP,Andalusia,701927
657,Zaragoza,ESP,Aragonia,603367
658,Mlaga,ESP,Andalusia,530553
659,Bilbao,ESP,Baskimaa,357589
660,LasPalmasdeGranCanaria,ESP,CanaryIslands,354757
661,Murcia,ESP,Murcia,353504
662,PalmadeMallorca,ESP,Balears,326993
663,Valladolid,ESP,CastillaandLen,319998
664,Crdoba,ESP,Andalusia,311708
665,Vigo,ESP,Galicia,283670
666,Alicante[Alacant],ESP,Valencia,272432
667,Gijn,ESP,Asturia,267980
668,LHospitaletdeLlobregat,ESP,Katalonia,247986
669,Granada,ESP,Andalusia,244767
670,ACoruaLaCorua,ESP,Galicia,243402
671,Vitoria-Gasteiz,ESP,Baskimaa,217154
672,SantaCruzdeTenerife,ESP,CanaryIslands,213050
673,Badalona,ESP,Katalonia,209635
674,Oviedo,ESP,Asturia,200453
675,Mstoles,ESP,Madrid,195351
676,Elche[Elx],ESP,Valencia,193174
677,Sabadell,ESP,Katalonia,184859
678,Santander,ESP,Cantabria,184165
679,JerezdelaFrontera,ESP,Andalusia,182660
680,Pamplona[Irua],ESP,Navarra,180483
681,Donostia-SanSebastin,ESP,Baskimaa,179208
682,Cartagena,ESP,Murcia,177709
683,Legans,ESP,Madrid,173163
684,Fuenlabrada,ESP,Madrid,171173
685,Almera,ESP,Andalusia,169027
686,Terrassa,ESP,Katalonia,168695
687,AlcaldeHenares,ESP,Madrid,164463
688,Burgos,ESP,CastillaandLen,162802
689,Salamanca,ESP,CastillaandLen,158720
690,Albacete,ESP,Kastilia-LaMancha,147527
691,Getafe,ESP,Madrid,145371
692,Cdiz,ESP,Andalusia,142449
693,Alcorcn,ESP,Madrid,142048
694,Huelva,ESP,Andalusia,140583
695,Len,ESP,CastillaandLen,139809
696,CastellndelaPlana[Castell,ESP,Valencia,139712
697,Badajoz,ESP,Extremadura,136613
698,[SanCristbalde]laLaguna,ESP,CanaryIslands,127945
699,Logroo,ESP,LaRioja,127093
700,SantaColomadeGramenet,ESP,Katalonia,120802
701,Tarragona,ESP,Katalonia,113016
702,LleidaLrida,ESP,Katalonia,112207
703,Jan,ESP,Andalusia,109247
704,OurenseOrense,ESP,Galicia,109120
705,Matar,ESP,Katalonia,104095
706,Algeciras,ESP,Andalusia,103106
707,Marbella,ESP,Andalusia,101144
708,Barakaldo,ESP,Baskimaa,98212
709,DosHermanas,ESP,Andalusia,94591
710,SantiagodeCompostela,ESP,Galicia,93745
711,TorrejndeArdoz,ESP,Madrid,92262
712,CapeTown,ZAF,WesternCape,2352121
713,Soweto,ZAF,Gauteng,904165
714,Johannesburg,ZAF,Gauteng,756653
715,PortElizabeth,ZAF,EasternCape,752319
716,Pretoria,ZAF,Gauteng,658630
717,Inanda,ZAF,KwaZulu-Natal,634065
718,Durban,ZAF,KwaZulu-Natal,566120
719,Vanderbijlpark,ZAF,Gauteng,468931
720,KemptonPark,ZAF,Gauteng,442633
721,Alberton,ZAF,Gauteng,410102
722,Pinetown,ZAF,KwaZulu-Natal,378810
723,Pietermaritzburg,ZAF,KwaZulu-Natal,370190
724,Benoni,ZAF,Gauteng,365467
725,Randburg,ZAF,Gauteng,341288
726,Umlazi,ZAF,KwaZulu-Natal,339233
727,Bloemfontein,ZAF,FreeState,334341
728,Vereeniging,ZAF,Gauteng,328535
729,Wonderboom,ZAF,Gauteng,283289
730,Roodepoort,ZAF,Gauteng,279340
731,Boksburg,ZAF,Gauteng,262648
732,Klerksdorp,ZAF,NorthWest,261911
733,Soshanguve,ZAF,Gauteng,242727
734,Newcastle,ZAF,KwaZulu-Natal,222993
735,EastLondon,ZAF,EasternCape,221047
736,Welkom,ZAF,FreeState,203296
737,Kimberley,ZAF,NorthernCape,197254
738,Uitenhage,ZAF,EasternCape,192120
739,Chatsworth,ZAF,KwaZulu-Natal,189885
740,Mdantsane,ZAF,EasternCape,182639
741,Krugersdorp,ZAF,Gauteng,181503
742,Botshabelo,ZAF,FreeState,177971
743,Brakpan,ZAF,Gauteng,171363
744,Witbank,ZAF,Mpumalanga,167183
745,Oberholzer,ZAF,Gauteng,164367
746,Germiston,ZAF,Gauteng,164252
747,Springs,ZAF,Gauteng,162072
748,Westonaria,ZAF,Gauteng,159632
749,Randfontein,ZAF,Gauteng,120838
750,Paarl,ZAF,WesternCape,105768
751,Potchefstroom,ZAF,NorthWest,101817
752,Rustenburg,ZAF,NorthWest,97008
753,Nigel,ZAF,Gauteng,96734
754,George,ZAF,WesternCape,93818
755,Ladysmith,ZAF,KwaZulu-Natal,89292
756,AddisAbeba,ETH,AddisAbeba,2495000
757,DireDawa,ETH,DireDawa,164851
758,Nazret,ETH,Oromia,127842
759,Gonder,ETH,Amhara,112249
760,Dese,ETH,Amhara,97314
761,Mekele,ETH,Tigray,96938
762,BahirDar,ETH,Amhara,96140
763,Stanley,FLK,EastFalkland,1636
764,Suva,FJI,Central,77366
765,Quezon,PHL,NationalCapitalReg,2173831
766,Manila,PHL,NationalCapitalReg,1581082
767,Kalookan,PHL,NationalCapitalReg,1177604
768,Davao,PHL,SouthernMindanao,1147116
769,Cebu,PHL,CentralVisayas,718821
770,Zamboanga,PHL,WesternMindanao,601794
771,Pasig,PHL,NationalCapitalReg,505058
772,Valenzuela,PHL,NationalCapitalReg,485433
773,LasPias,PHL,NationalCapitalReg,472780
774,Antipolo,PHL,SouthernTagalog,470866
775,Taguig,PHL,NationalCapitalReg,467375
776,CagayandeOro,PHL,NorthernMindanao,461877
777,Paraaque,PHL,NationalCapitalReg,449811
778,Makati,PHL,NationalCapitalReg,444867
779,Bacolod,PHL,WesternVisayas,429076
780,GeneralSantos,PHL,SouthernMindanao,411822
781,Marikina,PHL,NationalCapitalReg,391170
782,Dasmarias,PHL,SouthernTagalog,379520
783,Muntinlupa,PHL,NationalCapitalReg,379310
784,Iloilo,PHL,WesternVisayas,365820
785,Pasay,PHL,NationalCapitalReg,354908
786,Malabon,PHL,NationalCapitalReg,338855
787,SanJosdelMonte,PHL,CentralLuzon,315807
788,Bacoor,PHL,SouthernTagalog,305699
789,Iligan,PHL,CentralMindanao,285061
790,Calamba,PHL,SouthernTagalog,281146
791,Mandaluyong,PHL,NationalCapitalReg,278474
792,Butuan,PHL,Caraga,267279
793,Angeles,PHL,CentralLuzon,263971
794,Tarlac,PHL,CentralLuzon,262481
795,Mandaue,PHL,CentralVisayas,259728
796,Baguio,PHL,CAR,252386
797,Batangas,PHL,SouthernTagalog,247588
798,Cainta,PHL,SouthernTagalog,242511
799,SanPedro,PHL,SouthernTagalog,231403
800,Navotas,PHL,NationalCapitalReg,230403
801,Cabanatuan,PHL,CentralLuzon,222859
802,SanFernando,PHL,CentralLuzon,221857
803,Lipa,PHL,SouthernTagalog,218447
804,Lapu-Lapu,PHL,CentralVisayas,217019
805,SanPablo,PHL,SouthernTagalog,207927
806,Bian,PHL,SouthernTagalog,201186
807,Taytay,PHL,SouthernTagalog,198183
808,Lucena,PHL,SouthernTagalog,196075
809,Imus,PHL,SouthernTagalog,195482
810,Olongapo,PHL,CentralLuzon,194260
811,Binangonan,PHL,SouthernTagalog,187691
812,SantaRosa,PHL,SouthernTagalog,185633
813,Tagum,PHL,SouthernMindanao,179531
814,Tacloban,PHL,EasternVisayas,178639
815,Malolos,PHL,CentralLuzon,175291
816,Mabalacat,PHL,CentralLuzon,171045
817,Cotabato,PHL,CentralMindanao,163849
818,Meycauayan,PHL,CentralLuzon,163037
819,PuertoPrincesa,PHL,SouthernTagalog,161912
820,Legazpi,PHL,Bicol,157010
821,Silang,PHL,SouthernTagalog,156137
822,Ormoc,PHL,EasternVisayas,154297
823,SanCarlos,PHL,Ilocos,154264
824,Kabankalan,PHL,WesternVisayas,149769
825,Talisay,PHL,CentralVisayas,148110
826,Valencia,PHL,NorthernMindanao,147924
827,Calbayog,PHL,EasternVisayas,147187
828,SantaMaria,PHL,CentralLuzon,144282
829,Pagadian,PHL,WesternMindanao,142515
830,Cadiz,PHL,WesternVisayas,141954
831,Bago,PHL,WesternVisayas,141721
832,Toledo,PHL,CentralVisayas,141174
833,Naga,PHL,Bicol,137810
834,SanMateo,PHL,SouthernTagalog,135603
835,Panabo,PHL,SouthernMindanao,133950
836,Koronadal,PHL,SouthernMindanao,133786
837,Marawi,PHL,CentralMindanao,131090
838,Dagupan,PHL,Ilocos,130328
839,Sagay,PHL,WesternVisayas,129765
840,Roxas,PHL,WesternVisayas,126352
841,Lubao,PHL,CentralLuzon,125699
842,Digos,PHL,SouthernMindanao,125171
843,SanMiguel,PHL,CentralLuzon,123824
844,Malaybalay,PHL,NorthernMindanao,123672
845,Tuguegarao,PHL,CagayanValley,120645
846,Ilagan,PHL,CagayanValley,119990
847,Baliuag,PHL,CentralLuzon,119675
848,Surigao,PHL,Caraga,118534
849,SanCarlos,PHL,WesternVisayas,118259
850,SanJuandelMonte,PHL,NationalCapitalReg,117680
851,Tanauan,PHL,SouthernTagalog,117539
852,Concepcion,PHL,CentralLuzon,115171
853,RodriguezMontalban,PHL,SouthernTagalog,115167
854,Sariaya,PHL,SouthernTagalog,114568
855,Malasiqui,PHL,Ilocos,113190
856,GeneralMarianoAlvarez,PHL,SouthernTagalog,112446
857,Urdaneta,PHL,Ilocos,111582
858,Hagonoy,PHL,CentralLuzon,111425
859,SanJose,PHL,SouthernTagalog,111009
860,Polomolok,PHL,SouthernMindanao,110709
861,Santiago,PHL,CagayanValley,110531
862,Tanza,PHL,SouthernTagalog,110517
863,Ozamis,PHL,NorthernMindanao,110420
864,Mexico,PHL,CentralLuzon,109481
865,SanJose,PHL,CentralLuzon,108254
866,Silay,PHL,WesternVisayas,107722
867,GeneralTrias,PHL,SouthernTagalog,107691
868,Tabaco,PHL,Bicol,107166
869,Cabuyao,PHL,SouthernTagalog,106630
870,Calapan,PHL,SouthernTagalog,105910
871,Mati,PHL,SouthernMindanao,105908
872,Midsayap,PHL,CentralMindanao,105760
873,Cauayan,PHL,CagayanValley,103952
874,Gingoog,PHL,NorthernMindanao,102379
875,Dumaguete,PHL,CentralVisayas,102265
876,SanFernando,PHL,Ilocos,102082
877,Arayat,PHL,CentralLuzon,101792
878,BayawanTulong,PHL,CentralVisayas,101391
879,Kidapawan,PHL,CentralMindanao,101205
880,DaragaLocsin,PHL,Bicol,101031
881,Marilao,PHL,CentralLuzon,101017
882,Malita,PHL,SouthernMindanao,100000
883,Dipolog,PHL,WesternMindanao,99862
884,Cavite,PHL,SouthernTagalog,99367
885,Danao,PHL,CentralVisayas,98781
886,Bislig,PHL,Caraga,97860
887,Talavera,PHL,CentralLuzon,97329
888,Guagua,PHL,CentralLuzon,96858
889,Bayambang,PHL,Ilocos,96609
890,Nasugbu,PHL,SouthernTagalog,96113
891,Baybay,PHL,EasternVisayas,95630
892,Capas,PHL,CentralLuzon,95219
893,SultanKudarat,PHL,ARMM,94861
894,Laoag,PHL,Ilocos,94466
895,Bayugan,PHL,Caraga,93623
896,Malungon,PHL,SouthernMindanao,93232
897,SantaCruz,PHL,SouthernTagalog,92694
898,Sorsogon,PHL,Bicol,92512
899,Candelaria,PHL,SouthernTagalog,92429
900,Ligao,PHL,Bicol,90603
901,Trshavn,FRO,Streymoyar,14542
902,Libreville,GAB,Estuaire,419000
903,Serekunda,GMB,KomboStMary,102600
904,Banjul,GMB,Banjul,42326
905,Tbilisi,GEO,Tbilisi,1235200
906,Kutaisi,GEO,Imereti,240900
907,Rustavi,GEO,KvemoKartli,155400
908,Batumi,GEO,Adzaria[Atara],137700
909,Sohumi,GEO,Abhasia[Aphazeti],111700
910,Accra,GHA,GreaterAccra,1070000
911,Kumasi,GHA,Ashanti,385192
912,Tamale,GHA,Northern,151069
913,Tema,GHA,GreaterAccra,109975
914,Sekondi-Takoradi,GHA,Western,103653
915,Gibraltar,GIB,,27025
916,SaintGeorges,GRD,StGeorge,4621
917,Nuuk,GRL,Kitaa,13445
918,LesAbymes,GLP,Grande-Terre,62947
919,Basse-Terre,GLP,Basse-Terre,12433
920,Tamuning,GUM,,9500
921,Agaa,GUM,,1139
922,CiudaddeGuatemala,GTM,Guatemala,823301
923,Mixco,GTM,Guatemala,209791
924,VillaNueva,GTM,Guatemala,101295
925,Quetzaltenango,GTM,Quetzaltenango,90801
926,Conakry,GIN,Conakry,1090610
927,Bissau,GNB,Bissau,241000
928,Georgetown,GUY,Georgetown,254000
929,Port-au-Prince,HTI,Ouest,884472
930,Carrefour,HTI,Ouest,290204
931,Delmas,HTI,Ouest,240429
932,Le-Cap-Hatien,HTI,Nord,102233
933,Tegucigalpa,HND,DistritoCentral,813900
934,SanPedroSula,HND,Corts,383900
935,LaCeiba,HND,Atlntida,89200
936,KowloonandNewKowloon,HKG,KowloonandNewKowl,1987996
937,Victoria,HKG,Hongkong,1312637
938,Longyearbyen,SJM,Lnsimaa,1438
939,Jakarta,IDN,JakartaRaya,9604900
940,Surabaya,IDN,EastJava,2663820
941,Bandung,IDN,WestJava,2429000
942,Medan,IDN,SumateraUtara,1843919
943,Palembang,IDN,SumateraSelatan,1222764
944,Tangerang,IDN,WestJava,1198300
945,Semarang,IDN,CentralJava,1104405
946,UjungPandang,IDN,SulawesiSelatan,1060257
947,Malang,IDN,EastJava,716862
948,BandarLampung,IDN,Lampung,680332
949,Bekasi,IDN,WestJava,644300
950,Padang,IDN,SumateraBarat,534474
951,Surakarta,IDN,CentralJava,518600
952,Banjarmasin,IDN,KalimantanSelatan,482931
953,PekanBaru,IDN,Riau,438638
954,Denpasar,IDN,Bali,435000
955,Yogyakarta,IDN,Yogyakarta,418944
956,Pontianak,IDN,KalimantanBarat,409632
957,Samarinda,IDN,KalimantanTimur,399175
958,Jambi,IDN,Jambi,385201
959,Depok,IDN,WestJava,365200
960,Cimahi,IDN,WestJava,344600
961,Balikpapan,IDN,KalimantanTimur,338752
962,Manado,IDN,SulawesiUtara,332288
963,Mataram,IDN,NusaTenggaraBarat,306600
964,Pekalongan,IDN,CentralJava,301504
965,Tegal,IDN,CentralJava,289744
966,Bogor,IDN,WestJava,285114
967,Ciputat,IDN,WestJava,270800
968,Pondokgede,IDN,WestJava,263200
969,Cirebon,IDN,WestJava,254406
970,Kediri,IDN,EastJava,253760
971,Ambon,IDN,Molukit,249312
972,Jember,IDN,EastJava,218500
973,Cilacap,IDN,CentralJava,206900
974,Cimanggis,IDN,WestJava,205100
975,PematangSiantar,IDN,SumateraUtara,203056
976,Purwokerto,IDN,CentralJava,202500
977,Ciomas,IDN,WestJava,187400
978,Tasikmalaya,IDN,WestJava,179800
979,Madiun,IDN,EastJava,171532
980,Bengkulu,IDN,Bengkulu,146439
981,Karawang,IDN,WestJava,145000
982,BandaAceh,IDN,Aceh,143409
983,Palu,IDN,SulawesiTengah,142800
984,Pasuruan,IDN,EastJava,134019
985,Kupang,IDN,NusaTenggaraTimur,129300
986,TebingTinggi,IDN,SumateraUtara,129300
987,PercutSeiTuan,IDN,SumateraUtara,129000
988,Binjai,IDN,SumateraUtara,127222
989,Sukabumi,IDN,WestJava,125766
990,Waru,IDN,EastJava,124300
991,PangkalPinang,IDN,SumateraSelatan,124000
992,Magelang,IDN,CentralJava,123800
993,Blitar,IDN,EastJava,122600
994,Serang,IDN,WestJava,122400
995,Probolinggo,IDN,EastJava,120770
996,Cilegon,IDN,WestJava,117000
997,Cianjur,IDN,WestJava,114300
998,Ciparay,IDN,WestJava,111500
999,Lhokseumawe,IDN,Aceh,109600
1000,Taman,IDN,EastJava,107000
1001,Depok,IDN,Yogyakarta,106800
1002,Citeureup,IDN,WestJava,105100
1003,Pemalang,IDN,CentralJava,103500
1004,Klaten,IDN,CentralJava,103300
1005,Salatiga,IDN,CentralJava,103000
1006,Cibinong,IDN,WestJava,101300
1007,PalangkaRaya,IDN,KalimantanTengah,99693
1008,Mojokerto,IDN,EastJava,96626
1009,Purwakarta,IDN,WestJava,95900
1010,Garut,IDN,WestJava,95800
1011,Kudus,IDN,CentralJava,95300
1012,Kendari,IDN,SulawesiTenggara,94800
1013,JayaPura,IDN,WestIrian,94700
1014,Gorontalo,IDN,SulawesiUtara,94058
1015,Majalaya,IDN,WestJava,93200
1016,PondokAren,IDN,WestJava,92700
1017,Jombang,IDN,EastJava,92600
1018,Sunggal,IDN,SumateraUtara,92300
1019,Batam,IDN,Riau,91871
1020,PadangSidempuan,IDN,SumateraUtara,91200
1021,Sawangan,IDN,WestJava,91100
1022,Banyuwangi,IDN,EastJava,89900
1023,TanjungPinang,IDN,Riau,89900
1024,MumbaiBombay,IND,Maharashtra,10500000
1025,Delhi,IND,Delhi,7206704
1026,Calcutta[Kolkata],IND,WestBengali,4399819
1027,ChennaiMadras,IND,TamilNadu,3841396
1028,Hyderabad,IND,AndhraPradesh,2964638
1029,Ahmedabad,IND,Gujarat,2876710
1030,Bangalore,IND,Karnataka,2660088
1031,Kanpur,IND,UttarPradesh,1874409
1032,Nagpur,IND,Maharashtra,1624752
1033,Lucknow,IND,UttarPradesh,1619115
1034,Pune,IND,Maharashtra,1566651
1035,Surat,IND,Gujarat,1498817
1036,Jaipur,IND,Rajasthan,1458483
1037,Indore,IND,MadhyaPradesh,1091674
1038,Bhopal,IND,MadhyaPradesh,1062771
1039,Ludhiana,IND,Punjab,1042740
1040,VadodaraBaroda,IND,Gujarat,1031346
1041,Kalyan,IND,Maharashtra,1014557
1042,Madurai,IND,TamilNadu,977856
1043,HaoraHowrah,IND,WestBengali,950435
1044,VaranasiBenares,IND,UttarPradesh,929270
1045,Patna,IND,Bihar,917243
1046,Srinagar,IND,JammuandKashmir,892506
1047,Agra,IND,UttarPradesh,891790
1048,Coimbatore,IND,TamilNadu,816321
1049,ThaneThana,IND,Maharashtra,803389
1050,Allahabad,IND,UttarPradesh,792858
1051,Meerut,IND,UttarPradesh,753778
1052,Vishakhapatnam,IND,AndhraPradesh,752037
1053,Jabalpur,IND,MadhyaPradesh,741927
1054,Amritsar,IND,Punjab,708835
1055,Faridabad,IND,Haryana,703592
1056,Vijayawada,IND,AndhraPradesh,701827
1057,Gwalior,IND,MadhyaPradesh,690765
1058,Jodhpur,IND,Rajasthan,666279
1059,NashikNasik,IND,Maharashtra,656925
1060,Hubli-Dharwad,IND,Karnataka,648298
1061,SolapurSholapur,IND,Maharashtra,604215
1062,Ranchi,IND,Jharkhand,599306
1063,Bareilly,IND,UttarPradesh,587211
1064,GuwahatiGauhati,IND,Assam,584342
1065,ShambajinagarAurangabad,IND,Maharashtra,573272
1066,CochinKochi,IND,Kerala,564589
1067,Rajkot,IND,Gujarat,559407
1068,Kota,IND,Rajasthan,537371
1069,ThiruvananthapuramTrivandrum,IND,Kerala,524006
1070,Pimpri-Chinchwad,IND,Maharashtra,517083
1071,JalandharJullundur,IND,Punjab,509510
1072,Gorakhpur,IND,UttarPradesh,505566
1073,Chandigarh,IND,Chandigarh,504094
1074,Mysore,IND,Karnataka,480692
1075,Aligarh,IND,UttarPradesh,480520
1076,Guntur,IND,AndhraPradesh,471051
1077,Jamshedpur,IND,Jharkhand,460577
1078,Ghaziabad,IND,UttarPradesh,454156
1079,Warangal,IND,AndhraPradesh,447657
1080,Raipur,IND,Chhatisgarh,438639
1081,Moradabad,IND,UttarPradesh,429214
1082,Durgapur,IND,WestBengali,425836
1083,Amravati,IND,Maharashtra,421576
1084,CalicutKozhikode,IND,Kerala,419831
1085,Bikaner,IND,Rajasthan,416289
1086,Bhubaneswar,IND,Orissa,411542
1087,Kolhapur,IND,Maharashtra,406370
1088,KatakaCuttack,IND,Orissa,403418
1089,Ajmer,IND,Rajasthan,402700
1090,Bhavnagar,IND,Gujarat,402338
1091,Tiruchirapalli,IND,TamilNadu,387223
1092,Bhilai,IND,Chhatisgarh,386159
1093,Bhiwandi,IND,Maharashtra,379070
1094,Saharanpur,IND,UttarPradesh,374945
1095,Ulhasnagar,IND,Maharashtra,369077
1096,Salem,IND,TamilNadu,366712
1097,Ujjain,IND,MadhyaPradesh,362266
1098,Malegaon,IND,Maharashtra,342595
1099,Jamnagar,IND,Gujarat,341637
1100,BokaroSteelCity,IND,Jharkhand,333683
1101,Akola,IND,Maharashtra,328034
1102,Belgaum,IND,Karnataka,326399
1103,Rajahmundry,IND,AndhraPradesh,324851
1104,Nellore,IND,AndhraPradesh,316606
1105,Udaipur,IND,Rajasthan,308571
1106,NewBombay,IND,Maharashtra,307297
1107,Bhatpara,IND,WestBengali,304952
1108,Gulbarga,IND,Karnataka,304099
1109,NewDelhi,IND,Delhi,301297
1110,Jhansi,IND,UttarPradesh,300850
1111,Gaya,IND,Bihar,291675
1112,Kakinada,IND,AndhraPradesh,279980
1113,DhuleDhulia,IND,Maharashtra,278317
1114,Panihati,IND,WestBengali,275990
1115,NandedNander,IND,Maharashtra,275083
1116,Mangalore,IND,Karnataka,273304
1117,DehraDun,IND,Uttaranchal,270159
1118,Kamarhati,IND,WestBengali,266889
1119,Davangere,IND,Karnataka,266082
1120,Asansol,IND,WestBengali,262188
1121,Bhagalpur,IND,Bihar,253225
1122,Bellary,IND,Karnataka,245391
1123,BarddhamanBurdwan,IND,WestBengali,245079
1124,Rampur,IND,UttarPradesh,243742
1125,Jalgaon,IND,Maharashtra,242193
1126,Muzaffarpur,IND,Bihar,241107
1127,Nizamabad,IND,AndhraPradesh,241034
1128,Muzaffarnagar,IND,UttarPradesh,240609
1129,Patiala,IND,Punjab,238368
1130,Shahjahanpur,IND,UttarPradesh,237713
1131,Kurnool,IND,AndhraPradesh,236800
1132,TiruppurTirupper,IND,TamilNadu,235661
1133,Rohtak,IND,Haryana,233400
1134,SouthDumDum,IND,WestBengali,232811
1135,Mathura,IND,UttarPradesh,226691
1136,Chandrapur,IND,Maharashtra,226105
1137,BarahanagarBaranagar,IND,WestBengali,224821
1138,Darbhanga,IND,Bihar,218391
1139,SiliguriShiliguri,IND,WestBengali,216950
1140,Raurkela,IND,Orissa,215489
1141,Ambattur,IND,TamilNadu,215424
1142,Panipat,IND,Haryana,215218
1143,Firozabad,IND,UttarPradesh,215128
1144,Ichalkaranji,IND,Maharashtra,214950
1145,Jammu,IND,JammuandKashmir,214737
1146,Ramagundam,IND,AndhraPradesh,214384
1147,Eluru,IND,AndhraPradesh,212866
1148,Brahmapur,IND,Orissa,210418
1149,Alwar,IND,Rajasthan,205086
1150,Pondicherry,IND,Pondicherry,203065
1151,Thanjavur,IND,TamilNadu,202013
1152,BiharSharif,IND,Bihar,201323
1153,Tuticorin,IND,TamilNadu,199854
1154,Imphal,IND,Manipur,198535
1155,Latur,IND,Maharashtra,197408
1156,Sagar,IND,MadhyaPradesh,195346
1157,Farrukhabad-cum-Fatehgarh,IND,UttarPradesh,194567
1158,Sangli,IND,Maharashtra,193197
1159,Parbhani,IND,Maharashtra,190255
1160,NagarCoil,IND,TamilNadu,190084
1161,Bijapur,IND,Karnataka,186939
1162,Kukatpalle,IND,AndhraPradesh,185378
1163,Bally,IND,WestBengali,184474
1164,Bhilwara,IND,Rajasthan,183965
1165,Ratlam,IND,MadhyaPradesh,183375
1166,Avadi,IND,TamilNadu,183215
1167,Dindigul,IND,TamilNadu,182477
1168,Ahmadnagar,IND,Maharashtra,181339
1169,Bilaspur,IND,Chhatisgarh,179833
1170,Shimoga,IND,Karnataka,179258
1171,Kharagpur,IND,WestBengali,177989
1172,MiraBhayandar,IND,Maharashtra,175372
1173,Vellore,IND,TamilNadu,175061
1174,Jalna,IND,Maharashtra,174985
1175,Burnpur,IND,WestBengali,174933
1176,Anantapur,IND,AndhraPradesh,174924
1177,AllappuzhaAlleppey,IND,Kerala,174666
1178,Tirupati,IND,AndhraPradesh,174369
1179,Karnal,IND,Haryana,173751
1180,Burhanpur,IND,MadhyaPradesh,172710
1181,HisarHissar,IND,Haryana,172677
1182,Tiruvottiyur,IND,TamilNadu,172562
1183,Mirzapur-cum-Vindhyachal,IND,UttarPradesh,169336
1184,Secunderabad,IND,AndhraPradesh,167461
1185,Nadiad,IND,Gujarat,167051
1186,Dewas,IND,MadhyaPradesh,164364
1187,MurwaraKatni,IND,MadhyaPradesh,163431
1188,Ganganagar,IND,Rajasthan,161482
1189,Vizianagaram,IND,AndhraPradesh,160359
1190,Erode,IND,TamilNadu,159232
1191,MachilipatnamMasulipatam,IND,AndhraPradesh,159110
1192,BhatindaBathinda,IND,Punjab,159042
1193,Raichur,IND,Karnataka,157551
1194,Agartala,IND,Tripura,157358
1195,ArrahAra,IND,Bihar,157082
1196,Satna,IND,MadhyaPradesh,156630
1197,LalbahadurNagar,IND,AndhraPradesh,155500
1198,Aizawl,IND,Mizoram,155240
1199,Uluberia,IND,WestBengali,155172
1200,Katihar,IND,Bihar,154367
1201,Cuddalore,IND,TamilNadu,153086
1202,Hugli-Chinsurah,IND,WestBengali,151806
1203,Dhanbad,IND,Jharkhand,151789
1204,Raiganj,IND,WestBengali,151045
1205,Sambhal,IND,UttarPradesh,150869
1206,Durg,IND,Chhatisgarh,150645
1207,MungerMonghyr,IND,Bihar,150112
1208,Kanchipuram,IND,TamilNadu,150100
1209,NorthDumDum,IND,WestBengali,149965
1210,Karimnagar,IND,AndhraPradesh,148583
1211,Bharatpur,IND,Rajasthan,148519
1212,Sikar,IND,Rajasthan,148272
1213,HardwarHaridwar,IND,Uttaranchal,147305
1214,Dabgram,IND,WestBengali,147217
1215,Morena,IND,MadhyaPradesh,147124
1216,Noida,IND,UttarPradesh,146514
1217,Hapur,IND,UttarPradesh,146262
1218,Bhusawal,IND,Maharashtra,145143
1219,Khandwa,IND,MadhyaPradesh,145133
1220,YamunaNagar,IND,Haryana,144346
1221,SonipatSonepat,IND,Haryana,143922
1222,Tenali,IND,AndhraPradesh,143726
1223,RaurkelaCivilTownship,IND,Orissa,140408
1224,KollamQuilon,IND,Kerala,139852
1225,Kumbakonam,IND,TamilNadu,139483
1226,IngrajBazarEnglishBazar,IND,WestBengali,139204
1227,Timkur,IND,Karnataka,138903
1228,Amroha,IND,UttarPradesh,137061
1229,Serampore,IND,WestBengali,137028
1230,Chapra,IND,Bihar,136877
1231,Pali,IND,Rajasthan,136842
1232,MaunathBhanjan,IND,UttarPradesh,136697
1233,Adoni,IND,AndhraPradesh,136182
1234,Jaunpur,IND,UttarPradesh,136062
1235,Tirunelveli,IND,TamilNadu,135825
1236,Bahraich,IND,UttarPradesh,135400
1237,GadagBetigeri,IND,Karnataka,134051
1238,Proddatur,IND,AndhraPradesh,133914
1239,Chittoor,IND,AndhraPradesh,133462
1240,Barrackpur,IND,WestBengali,133265
1241,BharuchBroach,IND,Gujarat,133102
1242,Naihati,IND,WestBengali,132701
1243,Shillong,IND,Meghalaya,131719
1244,Sambalpur,IND,Orissa,131138
1245,Junagadh,IND,Gujarat,130484
1246,RaeBareli,IND,UttarPradesh,129904
1247,Rewa,IND,MadhyaPradesh,128981
1248,Gurgaon,IND,Haryana,128608
1249,Khammam,IND,AndhraPradesh,127992
1250,Bulandshahr,IND,UttarPradesh,127201
1251,Navsari,IND,Gujarat,126089
1252,Malkajgiri,IND,AndhraPradesh,126066
1253,MidnaporeMedinipur,IND,WestBengali,125498
1254,Miraj,IND,Maharashtra,125407
1255,RajNandgaon,IND,Chhatisgarh,125371
1256,Alandur,IND,TamilNadu,125244
1257,Puri,IND,Orissa,125199
1258,Navadwip,IND,WestBengali,125037
1259,Sirsa,IND,Haryana,125000
